Date,Close/Last,Open,Rise/Fall
2024-06-28,479.11,482.41,0
2024-06-27,481.61,480.12,1
2024-06-26,480.37,478.55,1
2024-06-25,479.38,476.07,1
2024-06-24,473.96,478.18,0
2024-06-21,480.18,481.19,0
2024-06-20,481.47,486.42,0
2024-06-18,485.21,485.01,1
2024-06-17,485.06,479.46,1
2024-06-14,479.19,476.52,1
2024-06-13,476.72,477.72,0
2024-06-12,474.15,471.99,1
2024-06-11,468.02,463.54,1
2024-06-10,464.83,461.82,1
2024-06-07,462.96,463.0,0
2024-06-06,463.37,464.22,0
2024-06-05,463.53,457.98,1
2024-06-04,454.37,452.87,1
2024-06-03,453.13,454.57,0
2024-05-31,450.71,451.78,0
2024-05-30,451.55,455.5,0
2024-05-29,456.44,455.48,1
2024-05-28,459.68,459.18,1
2024-05-24,457.95,455.29,1
2024-05-23,453.66,460.55,0
2024-05-22,455.71,456.06,0
2024-05-21,455.8,453.04,1
2024-05-20,454.91,451.98,1
2024-05-17,451.76,452.11,0
2024-05-16,451.98,452.71,0
2024-05-15,452.9,448.43,1
2024-05-14,445.93,442.65,1
2024-05-13,443.08,443.99,0
2024-05-10,442.06,442.54,0
2024-05-09,441.02,440.33,1
2024-05-08,440.06,437.67,1
2024-05-07,440.32,440.7,0
2024-05-06,440.25,437.3,1
2024-05-03,435.48,434.44,1
2024-05-02,426.9,425.3,1
2024-05-01,421.52,423.15,0
2024-04-30,424.59,431.15,0
2024-04-29,432.75,433.13,0
2024-04-26,431.0,427.62,1
2024-04-25,424.45,419.24,1
2024-04-24,426.51,428.2,0
2024-04-23,425.07,420.77,1
2024-04-22,418.82,417.31,1
2024-04-19,414.65,422.22,0
2024-04-18,423.41,426.49,0
2024-04-17,425.84,433.1,0
2024-04-16,431.1,430.9,1
2024-04-15,431.06,442.06,0
2024-04-12,438.27,441.1,0
2024-04-11,445.37,440.26,1
2024-04-10,438.37,437.0,1
2024-04-09,442.23,442.96,0
2024-04-08,440.6,441.41,0
2024-04-05,440.47,436.78,1
2024-04-04,435.34,446.33,0
2024-04-03,442.1,438.96,1
2024-04-02,441.11,440.08,1
2024-04-01,444.95,444.97,0
2024-03-28,444.01,444.78,0
2024-03-27,444.83,446.44,0
2024-03-26,443.32,446.3,0
2024-03-25,444.76,443.55,1
2024-03-22,446.38,445.35,1
2024-03-21,445.87,448.88,0
2024-03-20,443.77,439.78,1
2024-03-19,438.57,435.45,1
2024-03-18,437.48,438.73,0
2024-03-15,433.92,436.07,0
2024-03-14,439.14,441.5,0
2024-03-13,440.25,442.65,0
2024-03-12,443.66,439.73,1
2024-03-11,437.39,437.51,0
2024-03-08,439.02,445.81,0
2024-03-07,445.45,442.42,1
2024-03-06,438.79,440.32,0
2024-03-05,436.05,440.94,0
2024-03-04,444.02,445.61,0
2024-03-01,445.61,439.9,1
2024-02-29,439.0,438.23,1
2024-02-28,435.27,435.43,0
2024-02-27,437.6,437.67,0
2024-02-26,436.55,437.6,0
2024-02-23,436.78,439.65,0
2024-02-22,438.07,434.49,1
2024-02-21,425.61,424.55,1
2024-02-20,427.32,428.55,0
2024-02-16,430.57,434.89,0
2024-02-15,434.51,433.92,1
2024-02-14,433.22,431.26,1
2024-02-13,428.55,427.28,1
2024-02-12,435.34,436.94,0
2024-02-09,437.05,433.94,1
2024-02-08,432.79,432.11,1
2024-02-07,431.99,430.41,1
2024-02-06,427.59,429.61,0
2024-02-05,428.45,429.07,0
2024-02-02,429.01,423.8,1
2024-02-01,421.88,418.79,1
2024-01-31,416.97,420.85,0
2024-01-30,425.3,427.1,0
2024-01-29,428.15,424.27,1
2024-01-26,423.81,424.44,0
2024-01-25,426.35,428.36,0
2024-01-24,425.83,427.44,0
2024-01-23,423.48,422.43,1
2024-01-22,421.73,423.41,0
2024-01-19,421.18,415.22,1
2024-01-18,412.99,410.52,1
2024-01-17,407.21,406.17,1
2024-01-16,409.52,408.31,1
2024-01-12,409.56,410.4,0
2024-01-11,409.35,409.79,0
2024-01-10,408.5,406.07,1
2024-01-09,405.75,401.91,1
2024-01-08,404.95,397.99,1
2024-01-05,396.75,396.45,1
2024-01-04,396.28,396.44,0
2024-01-03,398.33,399.93,0
2024-01-02,402.59,405.84,0
